㐁	442.07 444.28
㚘	286.16
㚛	375.04 495.45
㚜	528.05
㚠	146.33 151.11
㚢	083.03
㚤	527.11
㚫	535.05
㚲	226.36 539.55
㚷	270.50
㛁	189.24
㛂	306.39 307.02
㛄	066.02
㛅	357.35
㛆	421.15
㛍	334.01 541.38 542.59
㛐	302.15
㛑	402.07
㛒	438.39
㛗	162.28 164.37
㛘	481.53
㛥	535.30
㛧	333.06
㛪	446.27
㛮	302.13
㛱	271.48
㛳	378.17
㛴	302.12
㛶	401.02
㛹	139.32
㛼	543.50
㜅	456.47
㜇	349.17
㜊	291.01
㜎	089.18
㜓	534.47
㜗	221.27 331.12 536.47
㜘	165.30
㜝	331.17
㜣	137.26 295.17 407.67
㜤	329.13 335.40
㜪	109.08
㜮	442.46
㜰	501.23 502.10
㜲	190.33
㜳	095.04
㜵	296.41
㜷	048.49
㜸	498.05
㜺	402.25 402.29
㜽	254.01
㝂	377.29
㝃	281.06 295.05
㝅	326.37 439.40
㝈	405.44 411.01
㝌	324.10 434.39
㝏	385.04
㝐	035.27
㝖	045.07
㝗	179.32 314.47
㝞	167.27
㝢	260.04
㝣	373.25 495.32
㝤	439.34
㝩	180.38 315.10
㝪	444.38 542.46
㝯	150.30
㝰	135.35
㝱	343.34
㝵	390.30
㝻	394.05
㝼	080.02
㝾	305.12 419.17
㝿	307.07
㞁	413.49
㞂	272.43
㞄	222.01 330.42
㞆	243.05 349.41
㞇	272.04
㞋	291.23 294.06
㞏	532.37
㞒	385.27
㞓	353.17
㞕	482.26
㞙	413.01
㞚	534.06 543.39 545.06
㞛	248.02
㞜	098.44
㞟	319.47 407.41
㞡	290.50
㞢	058.45
㞥	220.29
㞦	247.35
㞽	479.18
㟅	030.32 032.26 040.31
㟉	155.40
㟋	381.35
㟌	039.07
㟍	179.38
㟎	272.41 306.29
㟏	223.09
㟐	314.35 428.48
㟛	333.12
㟞	287.44
㟪	064.50
㟳	470.08
㟸	155.15
㟺	077.35
㟽	298.54
㟾	035.29
㠀	302.23
㠆	121.21
㠇	436.38
㠊	071.29
㠍	532.25
㠐	150.33
㠑	250.05 272.29
㠒	149.36
㠔	384.32
㠖	243.24
㠛	513.09
㠠	070.11
㠢	095.06
㠥	056.07
㠦	027.11
㠭	290.55
㠯	251.20
㠴	468.16
㠵	181.06
㠷	534.37
㠸	079.40
㠹	385.05
㠺	150.08
㠽	033.08
㠾	115.15
㠿	046.44
㡀	376.36
㡁	310.01
㡅	304.43
㡆	181.10
㡇	540.44 541.11
㡉	133.23
㡊	543.15
㡋	546.03
㡏	080.33 366.14
㡑	150.46 297.03
㡒	106.49 107.47 282.48
㡓	116.39
㡔	080.40 365.50 452.44
㡗	088.45 090.09
㡘	225.27
㡙	088.54
㡜	377.09 496.41 498.32
㡝	344.33
㡟	158.01 158.57
㡥	397.20
㡧	430.07
㡨	226.21 227.33
㡯	512.32
㡲	128.11
㡷	282.25
㡹	347.30
㡺	401.17
㡼	355.37
㡿	518.06
㢀	347.28
㢁	245.33
㢂	336.18
㢅	342.21
㢈	097.30
㢊	271.05
㢋	245.32
㢏	214.35
㢒	169.23
㢓	425.46
㢔	236.26
㢖	127.13
㢗	414.47
㢚	084.28 265.14
㢝	084.43
㢟	138.30 295.13
㢡	310.30
㢨	400.39
㢪	085.16 085.48
㢯	119.02
㢰	347.10
㢵	545.31
㢸	472.23
㢻	349.36
㢼	495.21
㢾	407.25
㣁	352.09
㣂	516.05
㣅	331.05
㣇	355.41 372.07
㣈	354.35
㣌	445.49
㣎	459.20
㣑	035.33
㣙	522.33
㣝	025.28
㣟	469.44
㣤	290.48
㣥	253.07
㣫	237.40
㣭	032.07
㣱	514.08
㣶	130.22
㣻	391.47
㣿	295.45 501.49 521.54
㤄	381.25 391.25 479.40 485.42
㤅	390.36
㤆	398.28
㤇	303.38
㤉	169.44
㤊	152.07 415.13
㤍	153.51
㤎	159.05
㤏	032.46
㤒	155.24
㤕	474.32 474.35
㤝	027.15
㤞	504.39
㤠	497.09
㤤	076.33 263.11
㤥	390.45
㤨	239.17
㤩	506.30
㤮	426.40 426.46
㤱	325.01 435.51
㤲	541.37
㤴	228.41 539.59 540.29
㤸	524.17
㤾	442.14
㤿	228.16 446.24
㥁	529.06
㥂	529.33
㥄	199.05
㥆	388.43 480.47
㥈	541.53
㥊	189.62
㥋	066.05 254.42
㥌	454.50
㥏	288.30
㥒	274.33
㥓	045.01 243.13
㥛	526.48
㥜	359.05
㥝	245.24
㥟	092.54
㥠	068.32 257.31
㥢	205.34
㥦	541.32
㥨	247.03
㥯	279.33 397.18
㥴	041.25 244.30
㥶	530.17
㥽	514.35
㥾	469.23 526.05
㦁	139.16
㦃	287.21 287.41 288.08
㦄	164.49
㦅	493.44
㦌	481.28
㦎	514.48
㦒	087.21
㦓	289.19
㦗	220.07
㦚	293.09
㦛	068.16 257.02
㦜	509.30
㦝	465.47
㦟	095.27
㦣	375.11 375.26 378.34
㦦	524.19
㦬	304.36
㦴	512.17
㦵	075.54
㦺	462.20
㦼	346.06
㦿	336.38
㧀	532.32
㧁	362.18 534.34 536.14 536.57
㧄	338.03
㧆	397.09
㧉	390.21
㧊	486.57
㧒	299.06 471.55 476.42
㧓	166.10
㧔	384.42
㧖	515.41
㧗	246.08 246.21 268.37
㧘	093.34 347.23 348.07
㧡	274.24
㧢	102.04
㧦	406.52
㧬	239.20
㧲	331.26
㧳	271.18
㧴	304.29
㧶	188.02
㧹	529.29
㧺	535.12
㧻	465.15
㧾	482.07
㨁	356.31 525.35
㨅	349.35
㨉	106.01
㨊	250.20
㨋	309.46
㨍	183.40
㨎	498.48
㨏	122.09
㨐	326.35
㨒	092.18
㨖	246.52 250.30 251.11 353.11
㨙	093.05 373.07
㨝	491.35
㨞	369.26
㨟	099.41 100.52
㨠	289.26
㨡	116.30 482.51
㨤	095.13
㨥	536.11
㨧	283.24
㨨	206.03
㨵	292.20
㨶	302.22
㨷	103.50 397.10
㨹	379.36 498.33
㨻	224.42 337.27
㨾	424.32
㩇	514.56 516.08
㩉	535.68 537.16
㩊	140.21
㩋	144.08 295.30 412.23 454.06 459.06
㩒	219.12
㩓	241.34
㩜	224.20
㩢	373.39 491.06 495.01
㩤	079.18
㩧	466.03 466.05
㩨	373.53
㩩	318.36
㩱	503.08
㩳	239.31
㩵	484.10 484.19
㩹	542.02
㩺	058.27
㩻	044.47 346.44
㩼	041.05 346.13
㩾	050.30
㩿	482.09
㪁	219.27 223.08 231.30 445.05
㪃	304.51
㪆	269.13
㪇	406.27
㪉	534.25
㪋	304.52 400.42
㪌	236.15
㪍	480.29
㪏	270.29 373.44
㪐	481.59
㪑	539.33 546.05
㪒	090.05 270.24
㪔	284.06
㪖	451.33 463.06
㪜	246.15 294.14 305.37
㪝	407.60
㪡	382.52
㪤	471.07
㪥	168.19
㪩	459.10
㪬	466.53 467.21
㪭	084.39
㪵	404.32
㪷	325.43
㪹	327.26
㪺	080.23
㪻	399.03
㫂	362.39
㫃	280.16 295.19
㫊	305.09
㫍	149.04
㫎	063.49
㫏	296.28
㫐	296.31
㫚	481.24
㫱	286.48
㫹	362.42
㫽	463.05
㬄	405.58
㬉	286.01
㬊	285.09
㬒	314.31
㬓	414.13
㬗	407.66
㬝	032.29
㬤	533.10
㬫	408.28
㬮	130.15 402.04
㬰	076.17
㬱	371.29
㬻	182.35 315.27
㭁	200.08 433.07
㭂	297.02
㭈	492.48
㭊	520.10
㭋	240.09
㭑	383.24
㭔	084.33
㭕	071.31
㭘	534.15 534.36 540.36 546.14
㭚	256.26
㭛	384.21
㭜	025.34
㭝	210.34
㭠	288.19
㭩	265.24 487.14 499.41
㭫	163.01
㭭	491.11 495.27
㭯	540.45
㭰	050.12 050.21 243.38
㭺	335.05
㭼	535.13 535.44
㭿	183.34
㮁	151.56
㮂	461.34
㮃	042.17
㮅	057.31
㮇	444.23
㮌	140.10
㮍	133.01
㮐	319.09
㮕	293.50
㮖	489.23
㮘	156.13
㮙	507.13
㮚	469.50
㮝	515.08
㮢	212.21
㮣	390.17
㮤	034.35
㮦	507.61
㮧	085.25
㮨	527.37
㮩	525.19
㮫	483.05
㮬	031.12
㮭	229.35
㮯	116.12 282.10
㮰	052.10 495.62
㮲	208.49
㮶	465.09
㮷	089.10
㮿	471.15
㯁	100.41
㯂	381.06
㯃	469.04
㯄	041.10
㯅	045.19 047.28 088.56
㯉	069.12
㯊	120.25
㯍	310.34
㯓	537.25
㯔	376.05 376.38
㯕	090.23
㯙	499.53
㯚	534.52
㯛	081.34
㯟	451.08
㯠	408.05
㯡	154.35
㯫	067.34
㯬	333.44
㯮	462.01
㯯	342.14
㯱	158.58
㯲	441.07
㯳	316.15
㯸	276.10
㯺	333.16 446.01
㯻	282.51
㯿	538.27 539.17
㰁	304.32
㰂	329.07
㰈	333.43
㰊	228.26
㰋	105.01
㰍	030.09
㰘	051.17
㰚	046.12
㰠	182.34
㰢	188.06
㰣	046.47 346.32
㰤	304.49 420.04 422.44
㰥	375.03
㰦	164.33 362.12
㰨	094.04
㰪	092.05 093.64
㰬	107.06
㰭	074.31
㰮	275.32
㰯	439.16 440.12
㰰	544.02
㰲	458.23 461.13 528.21
㰳	421.46
㰴	438.22
㰵	474.02
㰶	298.60
㰹	230.19
㰻	250.22
㰼	540.59
㰽	398.41
㰾	412.52
㱀	254.23
㱂	180.37
㱃	329.38
㱄	529.50
㱇	526.32
㱊	202.48
㱍	125.28
㱎	117.01
㱒	161.25
㱕	066.11
㱖	355.24
㱙	322.14
㱚	122.32 490.56
㱜	488.01
㱞	533.08
㱟	043.22 246.23
㱠	085.45
㱡	200.29 320.59
㱣	272.42
㱤	520.20
㱥	199.08 434.15
㱦	044.50 047.03 243.07
㱬	272.03
㱯	099.31 101.04
㱱	272.46
㱲	348.37
㱴	348.08
㱵	396.32
㱸	519.24 523.42
㱻	382.24 421.10
㱽	219.28 330.05
㱾	099.01
㱿	466.19
㲀	101.29 102.11 109.28
㲃	206.11 434.41
㲄	450.06
㲈	149.13
㲉	450.02
㲋	502.44
㲍	040.40
㲏	158.61
㲓	365.17
㲔	136.46
㲕	382.22 499.38
㲖	144.11
㲗	079.23
㲚	168.03
㲝	417.58
㲞	482.23
㲟	316.22
㲡	380.20
㲢	290.12
㲥	179.15
㲦	400.41
㲪	201.04
㲫	452.04
㲬	147.54
㲰	187.34
㲱	539.02
㲲	541.45
㲳	470.15
㲺	470.42
㲼	391.46
㲽	172.33 407.68
㳀	420.11
㳁	528.48
㳂	140.51
㳄	141.36
㳅	203.12
㳐	491.18
㳗	384.04
㳘	027.18
㳙	135.58
㳛	076.43 205.12
㳥	342.22
㳦	385.40
㳧	539.60
㳨	485.48
㳬	141.10 411.20
㳶	326.38
㳹	315.12
㳻	369.55 511.08 515.65
㴂	224.36
㴄	317.16
㴐	408.38
㴒	517.29
㴥	414.32
㴦	025.43
㴧	525.26
㴫	399.39
㴬	422.39
㴯	051.06
㴲	048.01
㴴	336.36
㴸	334.45
㴽	491.32
㵂	362.28
㵋	270.41 523.26
㵎	404.55
㵐	478.53
㵑	419.13
㵒	360.19
㵗	199.22
㵝	378.14
㵞	209.15
㵟	057.21 063.32
㵣	483.66
㵧	484.33
㵨	348.03
㵩	378.21
㵫	533.64
㵺	384.20
㵻	209.28
㵽	272.13
㵾	430.03 431.23
㵿	296.45
㶀	152.19
㶁	513.02
㶄	225.18
㶆	070.19
㶇	184.33 429.23
㶌	139.19
㶏	112.23 279.37 397.19
㶒	332.28 442.05
㶔	386.15
㶖	456.42
㶗	398.21
㶘	335.52
㶛	067.43
㶟	056.01 249.13
㶣	223.38 228.29
㶧	283.27
㶳	393.26
㶴	245.36
㶼	062.35 099.08
㶿	480.31
㷄	271.43 403.11
㷅	543.51
㷆	323.02
㷇	096.13
㷉	360.01
㷒	072.24
㷓	031.27 236.33
㷟	098.40
㷠	103.26
㷤	451.42
㷭	037.12
㷮	157.51
㷰	046.19 048.32
㷳	401.40
㷷	050.25
㷸	540.50
㷹	416.33
㸅	492.07
㸊	383.09
㸎	539.48
㸏	042.27
㸒	218.36
㸙	165.20
㸚	244.34 374.48
㸛	149.21
㸡	076.09
㸢	352.11
㸣	545.13
㸤	408.44
㸪	107.27 108.22
㸬	381.14
㸰	162.38 164.05
㸲	508.20
㸳	197.02
㸶	130.06
㸸	327.04 327.16 327.33
㸹	487.13 499.36
㸼	037.16
㹁	172.14 424.44
㹂	287.27 291.38 494.17
㹃	359.28
㹄	527.38
㹉	113.18
㹊	464.26
㹌	287.17
㹍	522.30
㹏	279.42
㹒	466.08
㹔	174.05
㹗	101.12 156.26
㹘	365.28
㹛	148.18
㹜	112.38
㹞	105.12
㹠	119.15
㹤	545.37
㹥	364.33
㹧	182.30
㹭	378.19
㹮	510.05
㹯	209.18
㹱	463.30 503.16
㹲	153.32
㹳	083.33
㹶	194.33
㹺	535.37
㹼	455.08
㹽	287.10
㹾	298.61
㺁	302.10
㺂	230.17
㺇	059.38
㺊	424.37
㺌	336.10 336.31
㺎	035.06
㺏	077.37
㺑	230.05 337.06 337.28
㺒	299.35 299.43
㺔	383.14
㺕	114.32 411.11
㺖	337.32 443.11 445.42
㺗	130.16
㺛	364.40
㺜	033.29 152.47 158.45
㺝	336.29 337.24
㺞	068.19
㺟	466.46
㺣	044.42
㺥	230.35
㺨	054.15
㺪	466.17
㺴	488.34
㺹	411.17
㺺	417.49
㺿	059.09
㻀	076.44
㻌	086.06
㻍	083.34
㻒	276.26
㻗	387.45
㻝	483.61
㻞	106.25
㻫	471.03
㻬	086.15
㻯	086.10
㻶	473.03
㻷	526.52
㻸	220.38
㻾	036.20
㻿	462.08
㼉	440.42
㼋	082.28 257.10
㼌	263.15
㼎	465.65
㼏	273.14
㼐	135.41
㼑	407.53
㼒	314.23
㼔	117.18
㼕	180.03
㼗	194.27
㼛	194.11
㼟	510.36
㼠	160.02
㼡	076.06
㼢	058.53
㼤	495.39
㼦	239.19
㼧	023.26
㼪	542.56
㼬	317.34
㼭	444.45
㼮	093.44
㼯	342.27
㼰	090.42
㼱	075.30 294.08 395.16
㼲	539.10 542.37
㼳	316.31
㼴	326.34
㼵	269.21
㼶	077.04
㼸	035.15
㼹	040.17 180.46
㼺	179.16
㼻	033.17 040.34
㼽	311.20 311.36
㼾	450.49
㼿	024.04 345.18
㽀	431.02
㽁	521.07
㽃	127.10
㽄	048.12 090.17
㽅	201.06
㽇	449.58
㽈	358.38
㽉	445.55
㽌	436.23
㽎	219.51 221.16
㽐	229.22
㽑	221.22
㽕	205.17
㽘	315.32
㽚	525.13
㽤	455.13
㽥	207.02
㽦	108.29
㽨	160.12
㽩	442.18
㽬	528.40
㽰	069.24
㽱	208.18 216.17 300.21
㽲	322.15
㽳	074.18
㽴	312.06
㽵	176.13
㽷	356.19
㽸	218.14
㽹	398.24
㽺	533.03 536.33 537.45
㽻	040.45
㽽	368.35
㽾	481.44
㽿	162.06 164.10
㾀	545.43
㾁	481.19
㾂	098.53
㾄	449.10
㾆	226.41 227.10
㾇	459.21
㾈	262.20
㾉	196.07
㾊	515.54
㾋	209.21
㾍	101.09
㾏	383.37
㾐	378.51
㾑	534.48 536.35 536.43
㾓	135.51
㾕	109.26 282.28 329.34
㾖	062.06 252.23
㾙	278.28 397.03
㾛	328.12
㾜	541.34
㾞	205.13
㾢	100.15 390.60
㾤	040.16
㾦	098.27
㾧	420.24
㾨	049.18 243.15
㾩	094.47
㾪	316.27
㾫	139.24
㾭	435.42
㾯	096.06
㾰	081.28
㾶	480.11
㾷	048.06 090.21
㾹	093.35 384.14
㾺	405.25 405.59 421.25
㾻	071.03 362.55 363.43
㿃	379.17 381.02
㿄	062.44 383.41
㿉	097.27
㿊	137.18
㿋	418.44
㿌	231.25
㿎	278.44 396.44
㿑	501.26
㿒	302.28 435.10
㿓	543.33
㿕	225.21
㿖	084.32 368.07
㿙	351.47
㿚	419.26
㿛	346.22 374.51
㿟	295.35
㿣	483.12
㿥	460.17 467.32
㿩	314.24
㿪	124.04
㿬	167.37
㿭	511.46
㿮	185.38 426.10
㿯	534.51
㿱	500.58
㿴	537.13
㿷	356.18 418.14
㿸	281.05 398.14
㿺	465.42
㿻	123.06
㿼	135.26
㿿	308.06
䀀	446.15
䀁	321.12 434.24
䀂	121.25
䀄	030.04
䀈	358.42 361.19 361.33
䀉	150.41
䀊	299.38 300.19
䀍	442.23
䀏	289.51 407.13
䀐	230.02 445.48
䀓	402.41
䀕	276.02
䀗	492.32
䀘	092.45
䀙	372.23
䀛	386.16 485.04
䀠	080.20 365.03
䀡	228.44 444.10 444.41
䀢	060.37 329.14 395.24
䀣	351.27 489.44
䀨	489.51
䀩	501.39 505.47
䀫	543.31
䀬	140.17 142.21
䀮	181.08 182.57
䀰	449.45
䀴	320.50 544.18
䀵	063.29
䀶	424.51
䀷	545.53
䀸	377.31 379.26
䀹	538.34
䀺	156.31
䀼	392.25
䀽	137.41
䀿	497.45
䁁	424.50
䁂	287.26
䁅	317.28 429.19
䁆	546.10
䁇	529.01 530.04
䁈	265.38 373.20
䁊	352.47 486.48
䁋	542.04 542.58
䁌	476.43
䁍	543.09
䁎	189.53
䁒	532.23
䁓	236.32 342.38 385.14
䁔	114.58 281.45 285.10
䁕	106.04 106.32
䁘	299.08
䁙	405.09
䁛	352.17
䁜	315.26
䁝	191.03 198.09 317.15
䁢	141.18
䁤	355.12
䁦	362.07
䁨	509.03
䁩	066.23
䁬	201.36
䁮	227.48 444.49
䁱	213.03 214.14
䁲	094.06
䁳	314.29
䁴	291.14 295.18
䁵	293.19
䁷	459.40 464.14
䁸	039.18
䁺	517.50
䁻	502.12
䁽	539.04
䂃	414.61
䂄	503.37
䂇	457.40
䂈	032.48
䂌	034.48
䂎	402.43 403.30
䂏	144.34
䂐	474.38 499.04
䂑	091.16
䂒	488.18
䂕	379.39
䂚	152.08
䂪	296.58
䂫	030.54
䂬	037.44 239.10
䂭	153.53
䂮	501.37
䂳	307.26 310.05
䂸	513.42
䂹	248.03 510.55
䂻	430.15
䂽	296.56
䂿	535.21
䃀	388.28
䃁	167.30
䃂	283.02
䃊	259.44 516.44
䃍	387.32
䃒	515.06
䃓	439.38
䃔	033.35 344.25
䃕	467.23
䃖	267.03
䃗	467.45
䃚	451.48
䃛	139.15
䃞	455.40
䃤	295.29 459.02
䃧	033.39
䃫	332.45
䃬	273.22
䃭	330.17
䃳	539.19
䃴	070.22
䃵	296.42
䃸	444.42
䃺	420.42
䃽	242.18
䃾	248.10 355.08 355.19
䃿	079.52
䄃	177.29
䄆	486.20 490.39
䄈	438.35
䄉	160.33
䄌	376.17
䄍	422.33
䄓	184.34
䄘	185.04
䄚	158.33
䄝	040.27
䄠	409.21
䄤	383.03
䄩	527.30
䄪	295.50
䄬	041.17
䄮	079.51
䄱	175.11
䄲	349.24
䄶	472.25 480.24
䄷	518.17
䄻	154.51
䄼	335.35
䄿	378.12
䅀	378.60 497.15
䅁	401.09
䅂	508.09
䅃	037.49 239.44
䅊	169.32 424.22
䅌	136.04
䅏	254.39
䅑	055.36 056.25
䅓	264.01
䅗	349.26
䅘	100.11
䅚	281.38
䅜	306.14 349.21
䅝	027.30
䅡	264.21
䅢	436.30
䅣	181.41
䅥	484.04 500.13
䅧	228.17 441.10
䅩	241.01
䅬	383.42
䅭	183.27
䅲	054.26
䅳	078.26
䅵	460.35 501.54
䅷	082.50
䅹	327.29
䅻	046.14
䅼	128.31
䅾	219.30 220.34
䆀	274.36 388.03 390.06
䆁	155.25
䆂	225.37
䆃	302.02 417.15
䆄	291.12
䆅	053.33
䆊	355.25
䆍	030.18
䆎	444.43
䆏	255.52 360.34
䆑	189.54
䆕	493.05
䆘	544.40
䆚	024.13
䆝	492.17
䆞	296.32
䆟	536.16
䆢	493.09
䆨	197.06
䆫	039.21
䆱	224.35 442.52
䆵	189.52
䆷	492.16
䆸	188.46
䆽	067.37
䆾	224.25 442.48
䆿	378.33
䇂	142.37
䇎	503.21
䇏	273.03
䇐	351.16 352.44 532.49
䇑	309.02
䇔	421.07
䇗	034.05
䇘	369.02
䇜	336.24
䇞	224.02 332.27
䇦	315.01
䇨	342.12
䇩	378.18
䇫	061.38
䇬	080.12
䇮	328.50
䇯	037.29
䇷	499.54
䇸	192.10
䇹	111.41
䇽	377.27
䇾	115.34
䈂	197.47
䈃	297.21
䈄	222.09
䈇	415.35
䈈	064.38
䈉	538.41 544.07
䈋	535.48
䈎	538.29 540.31
䈏	465.62
䈐	388.52
䈑	309.30
䈒	330.46
䈓	484.25
䈕	045.25
䈖	164.09
䈗	306.03
䈙	323.36
䈚	099.18 252.31 274.12
䈛	096.12 385.49 386.35
䈜	440.30
䈝	068.27
䈠	285.18
䈥	112.35
䈪	524.16
䈮	365.01
䈰	152.54
䈱	156.41
䈲	126.47 127.17
䈳	537.57
䈵	031.10 237.04
䈶	035.24
䈸	449.59
䈺	025.12
䈻	081.05
䈿	523.35
䉁	195.34
䉂	242.34
䉃	310.32
䉈	284.12 484.40
䉉	081.31 082.20
䉋	350.19
䉌	350.44
䉎	179.11
䉑	073.09 080.46
䉔	121.35
䉙	110.21
䉚	188.10
䉛	458.17
䉞	332.18
䉠	057.16 063.34
䉢	526.40
䉣	423.04
䉦	137.16
䉧	203.22 321.23
䉨	361.14
䉫	453.12
䉬	391.20
䉭	539.11
䉮	392.52
䉰	152.22 299.39 300.20
䉳	137.01 290.30
䉴	174.38
䉶	039.50
䉷	231.22
䉹	196.57
䉺	030.44
䉻	044.24
䉽	286.24
䉾	351.31
䊀	081.19
䊆	323.31
䊈	096.53
䊉	331.29
䊊	358.47
䊋	176.16
䊎	281.42
䊓	244.09 346.30
䊝	468.37 496.37
䊞	515.35
䊟	117.31
䊠	361.26
䊡	126.53
䊤	221.21 330.20
䊦	495.31
䊧	352.50 359.38
䊫	273.29
䊬	310.06
䊭	417.19
䊮	522.28
䊳	042.30
䊵	210.39
䊷	062.21
䋂	152.05
䋃	417.59
䋈	309.51
䋉	493.02
䋊	192.22
䋎	406.21
䋏	508.26
䋐	478.05
䋖	473.50
䋙	252.16
䋛	270.08
䋟	358.09
䋢	495.22 495.56
䋤	501.14
䋨	262.31
䋪	161.36
䋫	190.06
䋭	455.51
䋰	461.35
䋱	100.13
䋵	378.25
䋷	211.49 216.28
䋸	108.24
䋻	219.09
䋼	197.23
䋾	309.50
䋿	096.18
䌌	540.19
䌎	501.33
䌐	523.33
䌑	133.36
䌖	532.17 539.28
䌗	262.34
䌘	495.26
䌜	539.46
䌞	333.42
䌟	514.01
䌠	223.23 229.06 229.24 229.38
䌤	050.33
䌥	279.32
䌦	417.20 522.22
䌨	484.44
䌪	333.31
䌭	148.14
䌳	047.32 048.15
䌴	421.09
䌵	461.09
䍃	205.08
䍄	335.47
䍆	257.25
䍇	537.55
䍊	152.17 523.06
䍌	211.28 215.33 325.37
䍍	208.26 437.49 450.01
䍎	399.51 406.43
䍐	284.49 401.54
䍔	184.56
䍖	153.40 211.12
䍘	048.40
䍙	096.49 262.08 388.01
䍛	368.37
䍜	415.36
䍝	535.45
䍡	451.06
䍢	073.20
䍤	268.38
䍥	521.11
䍦	046.11
䍧	183.10
䍨	487.03
䍫	159.41
䍬	189.23
䍮	297.14
䍱	069.34
䍲	093.51
䍴	242.04 349.12
䍶	022.04 104.05 342.29
䍸	508.43
䍺	128.05 405.35
䍻	411.26 411.32
䍼	222.44 535.62
䍽	520.48
䍿	181.40
䎀	474.50 479.17
䎂	303.25
䎃	334.35
䎄	146.35
䎈	378.03
䎌	457.33
䎎	546.26
䎑	451.31
䎒	286.45 291.17
䎔	079.03
䎕	184.48 189.30
䎖	201.25
䎗	151.39
䎘	454.05 458.37
䎙	104.30
䎠	061.18 124.05 163.32
䎤	461.43
䎦	333.30
䎧	240.16
䎨	546.01
䎩	062.24
䎪	530.44
䎫	039.24 346.04
䎮	371.37
䎯	401.57
䎰	508.22
䎳	490.55
䎶	357.34
䎷	364.41 365.32
䎸	368.53
䎺	377.25
䎿	205.24 205.36
䏁	274.03
䏃	135.31
䏄	269.06
䏅	372.22
䏆	147.33 158.35
䏇	414.17
䏉	532.14
䏐	492.54
䏒	408.43
