㐀	丘
傁	叟kMatthews,kMeyerWempe 叜kMatthews
傌	罵kMatthews
傏	搪kMatthews
傑	杰kMatthews
傘	繖kMatthews
備	俻kMatthews,kMeyerWempe
傜	徭kMatthews
傻	儍kFenn
傽	慞kMeyerWempe
僊	仙kLau,kMatthews
僱	雇kLau,kMeyerWempe
儆	警kMatthews,kMeyerWempe
儍	傻
儒	㐵
儓	檯kLau 枱kLau
儛	㒇kMatthews
儭	襯kMatthews
儶	㒞kMatthews
儻	倘kLau,kMatthews,kMeyerWempe
兌	兑kMatthews
兎	兔kLau,kMatthews,kMeyerWempe
兑	兌kMatthews
兔	兎kLau,kMatthews,kMeyerWempe
兦	亡kLau,kMatthews
全	㒰kMatthews
兩	両kMatthews 两kLau,kMatthews,kMeyerWempe
兪	俞kMatthews,kMeyerWempe
八	捌kLau,kMeyerWempe
兮	𠔃kFenn
兹	玆kMatthews 茲kMatthews
冂	坰kMatthews 冋kMatthews
冄	冉kMatthews
冉	冄kMatthews
冋	冂kMatthews 坰kMatthews,kMeyerWempe
冑	伷kFenn 胄kFenn
冒	冒kHKGlyph
冗	宂kMatthews
冤	寃kLau,kMatthews,kMeyerWempe
冩	寫kLau,kMatthews
冪	羃kMatthews 鼏kMeyerWempe
冫	氷kMatthews 冰kMatthews
冰	冫kMatthews 氷kLau,kMatthews
冱	沍kMatthews,kMeyerWempe
冲	沖kLau,kMatthews,kMeyerWempe
决	決kLau,kMatthews,kMeyerWempe
况	況kMatthews,kMeyerWempe
凂	浼kMatthews
凄	淒kMatthews,kMeyerWempe
准	準kMeyerWempe
凈	淨kLau,kMatthews
凉	涼kLau,kMatthews,kMeyerWempe
减	減kLau,kMatthews,kMeyerWempe
凑	湊kMatthews,kMeyerWempe
凛	懔kFenn
凡	凢kMatthews,kMeyerWempe 凣kMatthews
凢	凡kMatthews,kMeyerWempe
凣	凡kMatthews
処	䖏kFenn 處kMatthews
凳	櫈kHKGlyph,kLau,kMatthews,kMeyerWempe
凴	憑kLau,kMatthews
凶	㐫
凹	𠕄kLau
函	凾kMatthews 圅kMatthews
凾	函kMatthews 圅kMatthews
刀	刂kMatthews
刂	刀kMatthews
刃	刄kFenn
刄	刃kFenn
刅	創kMatthews
刊	刋kMatthews
刋	刊kMatthews
刓	园kMatthews
刘	劉kLau
删	刪kMatthews
刦	刧kFenn 劫kLau,kMeyerWempe
刧	刦kFenn 劫kLau,kMatthews,kMeyerWempe
刨	鉋kMatthews
利	𥝢kLau
刪	删kMatthews
刱	創kHanYu:TZ,kMeyerWempe
刴	剁kMeyerWempe
刷	㕞kMatthews
刼	劫kMatthews
剁	刴kMeyerWempe
剃	鬀kLau,kMatthews,kMeyerWempe
剋	尅kHKGlyph,kMatthews
剗	剷kLau,kMatthews
剦	閹kLau,kMatthews,kMeyerWempe
剩	賸kLau,kMatthews
剪	翦kLau,kMatthews,kMeyerWempe
剳	劄kMeyerWempe
創	刅kMatthews 刱kMeyerWempe,kHanYu 戧kMatthews
剷	剗kLau,kMatthews
剿	𠞰kFenn
劄	剳kMeyerWempe
劈	擗kMeyerWempe
劉	刘kLau
劍	劒kMatthews
劎	劔kFenn
劒	劍kMatthews
劓	㓷kMatthews
劔	劎kFenn
劝	勸kLau,kMatthews,kMeyerWempe
办	辦kFenn
劫	刦kLau,kMeyerWempe 刧kLau,kMatthews,kMeyerWempe 刼kMatthews
効	效kMeyerWempe
勄	敏kMatthews,kMeyerWempe
勅	勑kMatthews 敕kMatthews
勑	倈kLau 勅kMatthews 敕kMatthews 徠kLau
勖	勗kMatthews,kMeyerWempe
勗	勖kMatthews,kMeyerWempe
勛	勳kHKGlyph,kLau,kMatthews,kMeyerWempe
勰	協kFenn 恊kMatthews
勳	勛kHKGlyph,kLau,kMatthews,kMeyerWempe
勸	劝kLau,kMatthews,kMeyerWempe
勹	包kMatthews
勻	匀kHKGlyph,kMatthews
勽	㲒kMathews,kMeyerWempe 菢kMatthews
匀	勻kHKGlyph,kMatthews
匃	丐kMatthews 匄kMatthews
匄	匃kMatthews
包	勹kMatthews
匆	悤kFenn 怱kHKGlyph,kLau,kMatthews
匈	胸kLau,kMatthews,kMeyerWempe 胷kLau,kMatthews
匊	掬kMatthews,kMeyerWempe
匋	陶kLau,kMatthews
匏	瓟kMatthews,kMeyerWempe
匘	腦kMatthews
匙	鍉kMatthews
匝	帀kMatthews 迊kMatthews
匧	篋kMatthews
匯	滙kLau,kMatthews,kMeyerWempe
匱	樻kMeyerWempe 鐀kMatthews 櫃kLau,kMatthews,kMeyerWempe 饋kLau
匳	奩kFenn
匵	櫝kMatthews,kMeyerWempe
匹	疋kMeyerWempe
医	醫kMatthews
千	仟kMeyerWempe
卄	廿kMatthews
卉	芔kMatthews
卌	𠦌kHanYu
卍	万kFenn 卐 萬kFenn
卐	卍
卒	䘚kLau,kMatthews
協	勰kFenn 旪kMatthews
单	單kMatthews,kMeyerWempe
博	愽kMatthews
卧	臥kHKGlyph
卩	㔾kMatthews
卬	卭kMatthews
卭	卬kMatthews
即	卽kLau,kMatthews
却	卻kLau,kMatthews,kMeyerWempe
卹	恤kMatthews,kMeyerWempe
卻	却kLau,kMatthews,kMeyerWempe
卽	即kLau,kMatthews
厄	戹kMatthews
历	厲kFenn
厎	砥kMatthews
厓	崖kMatthews
厖	庬kMeyerWempe
厘	釐kLau,kMatthews,kMeyerWempe
厠	廁kLau,kMatthews,kMeyerWempe
厤	曆kLau,kMatthews
厦	廈kLau,kMatthews
厨	廚kMatthews,kMeyerWempe
厩	廐kMatthews
厪	廑kMatthews
厮	㒋kMatthews 廝kMatthews
厰	廠kLau,kMatthews
厲	历kFenn
厶	某kLau
厷	肱kMatthews,kMeyerWempe
厹	叴kMeyerWempe
叁	三kLau,kMatthews,kMeyerWempe
參	叅kMatthews
叅	參kMatthews
双	雙kMatthews
収	收kLau,kMatthews,kMeyerWempe
叔	尗kMatthews
变	變kMatthews,kMeyerWempe
叙	敍kFenn 敘kHKGlyph,kLau,kMatthews
叜	傁kMatthews 叟kMatthews
叟	傁kMatthews,kMeyerWempe 叜kMatthews
叠	曡kMatthews 疊kMatthews,kMeyerWempe
叡	睿kMatthews,kMeyerWempe
叢	樷kFenn
叨	饕kMeyerWempe
只	子kLau
叫	呌kLau,kMatthews,kMeyerWempe
台	臺kHKGlyph,kLau
叴	厹kMeyerWempe
叵	尀kLau,kMatthews
号	號kLau,kMatthews
吃	喫kLau,kMatthews
吊	弔kLau,kMatthews,kMeyerWempe
同	仝kLau,kMatthews,kMeyerWempe
吒	咤kMatthews
吚	咿kMatthews,kMeyerWempe
吝	恡kMatthews 悋kMatthews
吞	呑kMatthews
吟	唫kFenn
吣	唚kMatthews
吨	啍kMeyerWempe
听	聽kLau,kMatthews
吲	哂kMatthews,kMeyerWempe
吳	呉kMatthews
吶	訥kLau,kMatthews
吸	噏kMatthews
吹	龡kMatthews
吻	呡kMatthews 肳kMatthews,kMeyerWempe
吿	告kMatthews
呆	獃kMatthews
呉	吳kMatthews
告	吿kMatthews
呌	叫kLau,kMatthews,kMeyerWempe
呑	吞kMatthews
呠	歕kMatthews 噴kMatthews
呡	吻kMatthews
周	週kLau
呪	詋kFenn 咒kLau
咀	觜kLau 嘴kLau
咂	𠯗kFenn
咊	和kLau,kMatthews 龢kLau,kMatthews
和	咊kLau,kMatthews 龢kLau,kMatthews
咏	詠kMatthews,kMeyerWempe
咒	呪kLau
咤	吒kMatthews
咨	嗞kMatthews,kMeyerWempe 諮kMatthews,kMeyerWempe
咩	哶kFenn
咬	齩kLau,kMatthews
咱	偺kFenn
咲	笑kFenn
咳	欬kMatthews
咷	啕kMatthews
咽	嚥kMatthews
咿	吚kMatthews,kMeyerWempe
哂	吲kMatthews,kMeyerWempe
响	響kMatthews
哦	誐kMeyerWempe
哲	喆kLau 悊kMatthews
哴	喨kMatthews
哶	咩kFenn
唁	喭kLau,kMatthews,kMeyerWempe
唇	脣kHKGlyph,kLau,kMatthews,kMeyerWempe
唉	欸kFenn
唊	硤kMeyerWempe
唚	吣kMatthews
唫	吟kFenn
唬	諕kMatthews 猇kMeyerWempe 虓kMeyerWempe
唾	涶kMatthews
啃	齦kFenn
啍	吨kMeyerWempe
啎	忤kMatthews
啓	啟kLau,kMatthews,kMeyerWempe
啕	咷kMatthews
啖	㗖kMatthews 噉kMatthews 啗kMatthews,kMeyerWempe
啗	㗖kMatthews 啖kMatthews,kMeyerWempe 噉kMatthews
啜	欼kMatthews 諁kMeyerWempe 歠kMatthews
啞	瘂kFenn
啟	啓kLau,kMatthews,kMeyerWempe
啣	㘅kFenn
啼	嗁kLau,kMatthews
喂	餧kFenn
喃	諵kLau,kMatthews,kMeyerWempe
喆	哲kLau
喐	郁kMeyerWempe
喒	昝kMatthews
喜	憙
喧	諠kMeyerWempe
喨	哴kMatthews
喫	吃kLau,kMatthews
喬	乔kFenn
喭	唁kLau,kMatthews,kMeyerWempe
單	单kMatthews,kMeyerWempe
喿	噪kMatthews
嗁	啼kLau,kMatthews
嗅	齅kMeyerWempe
嗉	膆kMatthews
嗒	㗳kLau
嗞	咨kMatthews,kMeyerWempe 諮kMatthews,kMeyerWempe
嗥	嚎kMatthews 嘷kMatthews
嗽	瘶kMatthews
嘆	歎kHKGlyph,kLau,kMatthews,kMeyerWempe
嘈	䜊kMatthews,kMeyerWempe
嘍	謱kMeyerWempe
嘗	甞kMeyerWempe
嘩	譁kLau,kMatthews,kMeyerWempe
嘯	歗kMatthews
嘱	囑kMatthews
嘴	咀kLau 觜kLau
嘷	嗥kMatthews
嘿	默kFenn
噂	譐kMeyerWempe
噉	㗖kMatthews 啖kMatthews 啗kMatthews
噏	吸kMatthews
噐	器kMatthews
噑	嚎kFenn
噦	𧬨kMeyerWempe
器	噐kMatthews
噪	喿kMatthews 譟kLau
噴	呠kMatthews 歕kMatthews
嚎	嗥kMatthews 噑kFenn
嚥	咽kMatthews
嚬	顰kMatthews
嚳	俈kMatthews
嚵	饞kMatthews,kMeyerWempe
嚹	𡅈kMeyerWempe
囁	讘kMeyerWempe
囑	嘱kMatthews
囓	齧kLau,kMatthews
囘	囬kFenn 回kLau,kMatthews,kMeyerWempe
四	肆kLau
回	囘kLau,kMatthews,kMeyerWempe 廻kMeyerWempe 囬kLau,kMatthews
囟	䪿kMatthews 顖kMatthews
囤	𥫱kLau
囪	囱kHKGlyph
囬	囘kFenn 回kLau,kMatthews
园	刓kMatthews
囮	𡈙kFenn
囯	國kMeyerWempe
困	睏kFenn
囱	囪kHKGlyph
圅	函kMatthews 凾kMatthews
國	囯kMeyerWempe
圕	圖kMatthews
圖	圕kMatthews
圝	圞kXHC1983
圞	圝kXHC1983
圢	町kMeyerWempe
圣	聖kMatthews,kMeyerWempe
圬	杇kMatthews,kMeyerWempe
圭	珪kMatthews
坆	墳kLau
坋	坌kMatthews
坌	坋kMatthews
坎	埳kMatthews,kMeyerWempe
坏	坯kMatthews
坑	阬kMatthews
坛	壇kMatthews
坟	墳kMatthews
坤	堃kLau,kMatthews,kMeyerWempe
坭	泥kLau,kMatthews
坯	坏kMatthews
坰	冂kMatthews 冋kMatthews,kMeyerWempe
坵	丘kMatthews
垔	陻kMatthews,kMeyerWempe 堙kMatthews,kMeyerWempe
垛	垜kFenn
垜	垛kFenn
垻	壩kMatthews,kMeyerWempe
埇	甬kFenn
埜	野kLau,kMatthews
域	㽣kMatthews
埳	坎kMatthews,kMeyerWempe
埶	蓺kMatthews 秇kMatthews 藝kMatthews
執	执kFenn
埽	掃kMeyerWempe
堃	坤kLau,kMatthews,kMeyerWempe
堇	菫kMatthews
堈	缸kLau,kMatthews 罁kLau,kMatthews
堘	塍kMatthews,kMeyerWempe
堙	垔kMatthews,kMeyerWempe 陻kMatthews,kMeyerWempe
堤	隄kMeyerWempe
堦	階kMatthews
堭	隍kMatthews
報	报kMeyerWempe
場	塲kLau,kMatthews,kMeyerWempe
堿	鹼kFenn 鹻kFenn
塍	堘kMatthews,kMeyerWempe
塐	塑kMatthews,kMeyerWempe
塑	塐kMatthews,kMeyerWempe
塔	㙮kMeyerWempe 墖kFenn
塟	葬kMatthews
塡	窴kMatthews
塢	隝kLau 隖kMatthews 鄔kMeyerWempe
塤	壎kMatthews,kMeyerWempe
塩	鹽kMatthews
塲	場kLau,kMatthews,kMeyerWempe
塹	壍kMatthews,kMeyerWempe
墈	磡kLau,kMatthews
墖	塔kFenn
墝	磽kMatthews
墤	隤kMatthews,kMeyerWempe
墫	樽kMatthews 罇kMatthews
墰	罈kFenn 壜kMatthews
墳	坆kLau 坟kMatthews
墻	廧kLau,kMatthews 牆kLau,kMatthews,kMeyerWempe
壇	坛kMatthews
壍	塹kMatthews,kMeyerWempe
壎	塤kMatthews,kMeyerWempe
壐	璽kMatthews
壜	墰kMatthews 罈kMatthews
壩	垻kMatthews,kMeyerWempe
声	聲kMatthews,kMeyerWempe
壳	㱿kMatthews 殻kFenn
壹	一kLau,kMatthews,kMeyerWempe 弌kLau,kMatthews,kMeyerWempe
壻	婿kLau,kMatthews,kMeyerWempe
壽	寿kFenn 夀kLau
夀	壽kLau 寿kFenn
夅	降kMatthews
変	變kHanyu:T
够	彀kFenn 夠kLau,kMatthews
夠	够kLau,kMatthews 彀kFenn
夢	梦kLau,kMeyerWempe 夣kMatthews
夣	夢kMatthews
天	靝kMatthews
夯	䂫kFenn
夸	誇kMeyerWempe
奇	竒kLau,kMatthews
奈	柰kLau,kMatthews,kMeyerWempe
奎	㚝kMatthews 奞kMatthews
奔	犇kMatthews
奕	弈kFenn
奞	㚝kMatthews 奎kMatthews
奩	匳kFenn
奶	妳kFenn 嬭kMatthews
她	他kMatthews
妊	姙kMatthews
妒	妬kLau,kMatthews,kMeyerWempe
妙	玅kLau,kMatthews
妝	粧kLau,kMatthews,kMeyerWempe
妤	伃kMatthews,kMeyerWempe
妬	妒kLau,kMatthews,kMeyerWempe
妳	奶kFenn 嬭kMatthews
姆	姥kMatthews
姉	姊kFenn
姊	姉kFenn
姍	姗kMatthews
姗	姍kMatthews
姙	妊kMatthews
姣	㚣kMatthews
姥	姆kMatthews
姻	婣kMatthews
娘	孃kLau
娠	㛛kMatthews
娩	㝃kMeyerWempe
娬	嫵kMatthews
婣	姻kMatthews
婦	媍kFenn
婬	淫kMeyerWempe
婿	壻kLau,kMatthews,kMeyerWempe
媆	嫩kCowles
媍	婦kFenn
媿	愧kMatthews,kMeyerWempe
嫉	𡜱kFenn
嫕	嫛kMatthews
嫛	嫕kMatthews
嫩	媆kCowles 𡞾kMeyerWempe
嫫	嬷kMeyerWempe
嫵	娬kMatthews
嫺	嫻kHKGlyph,kMatthews
嫻	嫺kHKGlyph,kMatthews
嬌	撟kMatthews
嬭	奶kMatthews 妳kMatthews
嬰	孾kMatthews
嬷	嫫kMeyerWempe
孀	霜kLau
孃	娘kLau
子	只kLau
孭	𧴯kMeyerWempe
學	斈kLau,kMatthews,kMeyerWempe
孼	孽kMatthews
孽	孼kMatthews
孾	嬰kMatthews
宂	冗kMatthews
它	佗kMatthews 牠kLau
完	烟kLau 煙kLau
宐	宜kMatthews
宜	宐kMatthews
宝	寳kFenn 寶kMeyerWempe
宴	讌kLau,kMatthews
宻	密kMatthews
宼	寇kMatthews
宿	㝛kMatthews
寃	冤kLau,kMatthews,kMeyerWempe
密	宻kMatthews
寇	宼kMatthews
寍	寧kMatthews
寔	實kLau,kMatthews,kMeyerWempe
寕	寜kFenn
寗	甯kMatthews
寘	置kMatthews
寚	宝kMatthews 寳kMatthews
寜	寕kFenn
察	詧kMatthews,kMeyerWempe
寠	窶kMatthews,kMeyerWempe,kPhonetic
寡	關kLau
實	寔kLau,kMatthews,kMeyerWempe
寧	寍kMatthews 𡨴kMeyerWempe
寨	砦kLau,kMatthews,kMeyerWempe
寫	冩kLau,kMatthews
寳	宝kFenn 寶kFenn
寵	𠖥kFenn
寶	宝kMeyerWempe 寳kFenn
对	對kMatthews
寿	壽kFenn 夀kFenn
尀	叵kLau,kMatthews
尃	旉kMatthews 敷kMatthews
尅	剋kHKGlyph,kMatthews
将	𤕭kFenn
將	𤕭
專	耑kLau,kMatthews,kMeyerWempe
對	对kMatthews
尒	尔kMatthews 爾kMatthews
尔	尒kMatthews 爾kMatthews
尗	叔kMatthews
尢	尣kMatthews
尣	尢kMatthews
尨	狵kMatthews,kMeyerWempe
尩	㑌kMatthews
尰	腫kMatthews
尲	尷kLau,kMatthews
尷	尲kLau,kMatthews
尸	屍kMeyerWempe
尻	䯌kMatthews
尽	盡kLau,kMatthews
居	㞐kMatthews
屆	届kMatthews
屉	屜kLau,kMatthews
届	屆kMatthews
屍	尸kMeyerWempe
屜	𡲕kFenn
属	𡱆kFenn 屬kLau,kMatthews,kMeyerWempe
屣	蹝kMatthews 躧kMatthews
屬	属kLau,kMatthews,kMeyerWempe 𡱆kFenn
岁	亗kFenn 歲kMatthews 𡻕kFenn
岡	崗kHKGlyph,kLau,kMatthews
岨	砠kMatthews,kMeyerWempe
岩	巖kLau,kMatthews,kMeyerWempe
峒	洞kMeyerWempe
峨	峩kHKGlyph,kMatthews,kMeyerWempe
峩	峨kHKGlyph,kMatthews,kMeyerWempe
峭	陗kMatthews,kMeyerWempe
峯	峰kHKGlyph
峰	峯kHKGlyph
崒	崪kMatthews
崔	磪kMatthews,kMeyerWempe
崖	厓kMatthews
崗	岡kHKGlyph,kLau,kMatthews
崘	崙kMeyerWempe
崙	侖kFenn 崘kMeyerWempe
崧	嵩kMatthews,kMeyerWempe
崪	崒kMatthews
嵗	歲
嵠	谿kMeyerWempe
嵩	崧kMatthews,kMeyerWempe
嶃	磛kMeyerWempe
嶄	巉kMatthews
嶇	㠊kMatthews,kMeyerWempe
嶎	蔚kMatthews
嶝	磴kMatthews
巉	嶄kMatthews
巍	魏kMeyerWempe
巖	岩kLau,kMatthews,kMeyerWempe
巛	川kMatthews
川	巛kMatthews
巡	廵kLau,kMatthews,kMeyerWempe
巤	鬣kMatthews,kMeyerWempe
帀	匝kMatthews 迊kMatthews
帆	㠶kMatthews
帋	紙kMatthews
帒	袋kLau,kMatthews
帙	袠kMatthews
帚	箒kMatthews,kMeyerWempe
帬	裙kMatthews
帮	幫kMatthews,kMeyerWempe 幇kFenn
帳	賬kLau
幂	鼏kMeyerWempe
幇	帮kFenn 幫kMatthews,kMeyerWempe
幕	幙kLau,kMatthews,kMeyerWempe
幙	幕kLau,kMatthews,kMeyerWempe
幞	襮kMeyerWempe
幟	旘kMatthews
幡	旛kFenn
幫	帮kMatthews,kMeyerWempe 幇kMatthews,kMeyerWempe
幵	开kFenn
并	並kMatthews,kMeyerWempe 幷kMatthews,kMeyerWempe 竝kMatthews
幷	並kMatthews,kMeyerWempe 并kMatthews,kMeyerWempe 竝kMatthews
幸	倖kFenn
幺	么kMatthews
庄	莊kLau
庅	麽kFenn 麼kMatthews
床	牀kLau,kMatthews,kMeyerWempe
庙	廟kLau,kMatthews,kMeyerWempe
庬	厖kMeyerWempe
庵	菴kHKGlyph,kMatthews
庸	㐯 𠆌
庾	斞kMatthews
廀	廋kMatthews
廁	厠kLau,kMatthews,kMeyerWempe
廈	厦kLau,kMatthews
廋	廀kMatthews
廌	豸kMatthews
廐	厩kMatthews
廑	厪kMatthews
廕	蔭kMatthews
廚	厨kMatthews,kMeyerWempe
廝	㒋kMatthews 厮kMatthews
廟	庙kLau,kMatthews,kMeyerWempe
廠	厰kLau,kMatthews
廧	墻kLau,kMatthews 牆kLau,kMatthews
廱	雝kMeyerWempe
廵	巡kLau,kMatthews,kMeyerWempe
廸	迪kMatthews
廹	迫kMatthews,kMeyerWempe
廻	回kMeyerWempe 迴kLau,kMatthews
廼	乃kMatthews 迺kMatthews
廿	卄kMatthews
开	幵kFenn
弈	奕kFenn
弊	𡚁kFenn
